Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
successful aging,Meredith L Troutman-Jordan,https://pages.charlotte.edu/connections/people/meredith-l-troutman-jordan/,,,,
nursing informatics,Lucille S Travis,https://pages.charlotte.edu/connections/people/lucille-s-travis/,,,,
outpatient delivery,Lucille S Travis,https://pages.charlotte.edu/connections/people/lucille-s-travis/,,,,
transtelephonic monitoring,Lucille S Travis,https://pages.charlotte.edu/connections/people/lucille-s-travis/,,,,
disease prevention,Colette R Townsend Chambers,https://pages.charlotte.edu/connections/people/colette-r-townsend-chambers/,,,,
women\u2019s health,Zinobia Bennefield,https://pages.charlotte.edu/connections/people/zbennefi/,Colette R Townsend Chambers,https://pages.charlotte.edu/connections/people/colette-r-townsend-chambers/,,
breast feeding,Cynthia L Toth,https://pages.charlotte.edu/connections/people/cynthia-l-toth/,,,,
maternity,Cynthia L Toth,https://pages.charlotte.edu/connections/people/cynthia-l-toth/,,,,
student skills aquisition,Cynthia L Toth,https://pages.charlotte.edu/connections/people/cynthia-l-toth/,,,,
complex illnesses,Mary M Smith,https://pages.charlotte.edu/connections/people/mary-m-smith/,,,,
disease management,Mary M Smith,https://pages.charlotte.edu/connections/people/mary-m-smith/,Crystal N Piper,https://pages.charlotte.edu/connections/people/crystal-n-piper/,Jan Warren-Findlow,https://pages.charlotte.edu/connections/people/jan-warren-findlow/
pathophysiology,Mary M Smith,https://pages.charlotte.edu/connections/people/mary-m-smith/,,,,
family presence,Kelly A Powers,https://pages.charlotte.edu/connections/people/kelly-a-powers/,,,,
resuscitation,Kelly A Powers,https://pages.charlotte.edu/connections/people/kelly-a-powers/,,,,
acute care,Margaret M MacKay,https://pages.charlotte.edu/connections/people/margaret-m-mackay/,,,,
child care,Margaret M MacKay,https://pages.charlotte.edu/connections/people/margaret-m-mackay/,,,,
family care,Jill Yavorsky,https://pages.charlotte.edu/connections/people/jyavorsk/,Margaret M MacKay,https://pages.charlotte.edu/connections/people/margaret-m-mackay/,,
addiction treatment,Dee A Langford,https://pages.charlotte.edu/connections/people/dee-a-langford/,,,,
addictions,Dee A Langford,https://pages.charlotte.edu/connections/people/dee-a-langford/,,,,
anxiety disorders,Dee A Langford,https://pages.charlotte.edu/connections/people/dee-a-langford/,,,,
disorders treatment,Dee A Langford,https://pages.charlotte.edu/connections/people/dee-a-langford/,,,,
mood disorders,Dee A Langford,https://pages.charlotte.edu/connections/people/dee-a-langford/,,,,
bullying in schools,David R Langford,https://pages.charlotte.edu/connections/people/david-r-langford/,,,,
danger assessment,David R Langford,https://pages.charlotte.edu/connections/people/david-r-langford/,,,,
qualitative research methods,Jae Hoon Lim,https://pages.charlotte.edu/connections/people/jhlim/,David R Langford,https://pages.charlotte.edu/connections/people/david-r-langford/,,
safety planning,David R Langford,https://pages.charlotte.edu/connections/people/david-r-langford/,,,,
child maltreatment,Kathleen S Jordan,https://pages.charlotte.edu/connections/people/kathleen-s-jordan/,Sharon G Portwood,https://pages.charlotte.edu/connections/people/sharon-g-portwood/,,
emergency care,Kathleen S Jordan,https://pages.charlotte.edu/connections/people/kathleen-s-jordan/,,,,
forensics,Timothy Horne,https://pages.charlotte.edu/connections/people/timothy-horne/,Kathleen S Jordan,https://pages.charlotte.edu/connections/people/kathleen-s-jordan/,,
pediatrics,Kathleen S Jordan,https://pages.charlotte.edu/connections/people/kathleen-s-jordan/,,,,
african american families,Dorothy Smith-Ruiz,https://pages.charlotte.edu/connections/people/dorothy-smith-ruiz/,Judith B Cornelius,https://pages.charlotte.edu/connections/people/judith-b-cornelius/,,
african american women,Dorothy Smith-Ruiz,https://pages.charlotte.edu/connections/people/dorothy-smith-ruiz/,Judith B Cornelius,https://pages.charlotte.edu/connections/people/judith-b-cornelius/,,
older women,Judith B Cornelius,https://pages.charlotte.edu/connections/people/judith-b-cornelius/,,,,
chronic disease,Dorothy Smith-Ruiz,https://pages.charlotte.edu/connections/people/dorothy-smith-ruiz/,Maren J Coffman,https://pages.charlotte.edu/connections/people/maren-j-coffman/,Jan Warren-Findlow,https://pages.charlotte.edu/connections/people/jan-warren-findlow/
health care access,Maren J Coffman,https://pages.charlotte.edu/connections/people/maren-j-coffman/,Sarah B Laditka,https://pages.charlotte.edu/connections/people/sarah-b-laditka/,,
health literacy,Maren J Coffman,https://pages.charlotte.edu/connections/people/maren-j-coffman/,,,,
Latino health,Maren J Coffman,https://pages.charlotte.edu/connections/people/maren-j-coffman/,,,,
self-management,Maren J Coffman,https://pages.charlotte.edu/connections/people/maren-j-coffman/,,,,
elder care,Allison H Burfield,https://pages.charlotte.edu/connections/people/allison-h-burfield/,,,,
outcomes,Allison H Burfield,https://pages.charlotte.edu/connections/people/allison-h-burfield/,,,,
pain assessment,Allison H Burfield,https://pages.charlotte.edu/connections/people/allison-h-burfield/,,,,
pain management,Allison H Burfield,https://pages.charlotte.edu/connections/people/allison-h-burfield/,,,,
pharmacotherapeutics,Allison H Burfield,https://pages.charlotte.edu/connections/people/allison-h-burfield/,,,,
nursing faculty shortage,Heather T Anderson,https://pages.charlotte.edu/connections/people/heather-t-anderson/,,,,
type 2 diabetes,Heather T Anderson,https://pages.charlotte.edu/connections/people/heather-t-anderson/,Crystal N Piper,https://pages.charlotte.edu/connections/people/crystal-n-piper/,Joseph S Marino,https://pages.charlotte.edu/connections/people/joseph-s-marino/
African Americans,Willie M Abel,https://pages.charlotte.edu/connections/people/willie-m-abel/,Jan Warren-Findlow,https://pages.charlotte.edu/connections/people/jan-warren-findlow/,,
cardiovascular disease,Willie M Abel,https://pages.charlotte.edu/connections/people/willie-m-abel/,,,,
Cardiovascular risk factors,Willie M Abel,https://pages.charlotte.edu/connections/people/willie-m-abel/,,,,
Medication adherence,Willie M Abel,https://pages.charlotte.edu/connections/people/willie-m-abel/,,,,
alcohol use,Pilar Zuber,https://pages.charlotte.edu/connections/people/pilar-zuber/,,,,
college students,Pilar Zuber,https://pages.charlotte.edu/connections/people/pilar-zuber/,,,,
mental health issues,Pilar Zuber,https://pages.charlotte.edu/connections/people/pilar-zuber/,,,,
problem identification,Michael E Thompson,https://pages.charlotte.edu/connections/people/michael-e-thompson/,,,,
workforce development,Mark D'Amico,https://pages.charlotte.edu/connections/people/mmdamico/,Michael E Thompson,https://pages.charlotte.edu/connections/people/michael-e-thompson/,,
diet quality,Elizabeth F Racine,https://pages.charlotte.edu/connections/people/elizabeth-f-racine/,,,,
food security,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Elizabeth F Racine,https://pages.charlotte.edu/connections/people/elizabeth-f-racine/,,
nutrition,Elizabeth F Racine,https://pages.charlotte.edu/connections/people/elizabeth-f-racine/,Tracy Bonoffski,https://pages.charlotte.edu/connections/people/tracy-bonoffski/,,
child policy,Sharon G Portwood,https://pages.charlotte.edu/connections/people/sharon-g-portwood/,,,,
child trauma,Sharon G Portwood,https://pages.charlotte.edu/connections/people/sharon-g-portwood/,,,,
children\u2019s mental health,Sharon G Portwood,https://pages.charlotte.edu/connections/people/sharon-g-portwood/,,,,
community engagement,Lydia Thompson,https://pages.charlotte.edu/connections/people/lthom115/,Tamara Williams,https://pages.charlotte.edu/connections/people/twill260/,Jose Gamez,https://pages.charlotte.edu/connections/people/jlgamez/
evaluation,Sharon G Portwood,https://pages.charlotte.edu/connections/people/sharon-g-portwood/,,,,
family policy,Sharon G Portwood,https://pages.charlotte.edu/connections/people/sharon-g-portwood/,,,,
family violence,Beth Bjerregaard,https://pages.charlotte.edu/connections/people/beth-bjerregaard/,Sharon G Portwood,https://pages.charlotte.edu/connections/people/sharon-g-portwood/,,
needs assessment,Sharon G Portwood,https://pages.charlotte.edu/connections/people/sharon-g-portwood/,,,,
youth policy,Sharon G Portwood,https://pages.charlotte.edu/connections/people/sharon-g-portwood/,,,,
health care strategy,Elena A Platonova,https://pages.charlotte.edu/connections/people/elena-a-platonova/,,,,
patient-centered medical homes,Elena A Platonova,https://pages.charlotte.edu/connections/people/elena-a-platonova/,,,,
patient-physician communication,Elena A Platonova,https://pages.charlotte.edu/connections/people/elena-a-platonova/,,,,
primary health care,Elena A Platonova,https://pages.charlotte.edu/connections/people/elena-a-platonova/,,,,
asthma,Crystal N Piper,https://pages.charlotte.edu/connections/people/crystal-n-piper/,,,,
chronic diseases,Crystal N Piper,https://pages.charlotte.edu/connections/people/crystal-n-piper/,,,,
cognition,Christopher Mellinger,https://pages.charlotte.edu/connections/people/cmelling/,Susan Johnson,https://pages.charlotte.edu/connections/people/susan-johnson/,Ronald Lunsford,https://pages.charlotte.edu/connections/people/ronald-lunsford/
health behaviors,Erika Montanaro,https://pages.charlotte.edu/connections/people/emontana/,Sara Levens,https://pages.charlotte.edu/connections/people/sara-levens/,Crystal N Piper,https://pages.charlotte.edu/connections/people/crystal-n-piper/
hypertension,Crystal N Piper,https://pages.charlotte.edu/connections/people/crystal-n-piper/,,,,
obesity,Jennifer Webb,https://pages.charlotte.edu/connections/people/jennifer-webb/,Crystal N Piper,https://pages.charlotte.edu/connections/people/crystal-n-piper/,Larissa R Huber,https://pages.charlotte.edu/connections/people/larissa-r-huber/
prostate cancer,Junya Tomida,https://pages.charlotte.edu/connections/people/jtomida/,Andrew Truman,https://pages.charlotte.edu/connections/people/andrew-truman/,Crystal N Piper,https://pages.charlotte.edu/connections/people/crystal-n-piper/
stroke,Crystal N Piper,https://pages.charlotte.edu/connections/people/crystal-n-piper/,,,,
cognitive health promotion,Sarah B Laditka,https://pages.charlotte.edu/connections/people/sarah-b-laditka/,,,,
life expectancy,Sarah B Laditka,https://pages.charlotte.edu/connections/people/sarah-b-laditka/,,,,
long-term care,Jacqueline Chattopadhyay,https://pages.charlotte.edu/connections/people/jacqueline-chattopadhyay/,Sarah B Laditka,https://pages.charlotte.edu/connections/people/sarah-b-laditka/,,
contraception,Larissa R Huber,https://pages.charlotte.edu/connections/people/larissa-r-huber/,,,,
pregnancy,Larissa R Huber,https://pages.charlotte.edu/connections/people/larissa-r-huber/,,,,
dyspnea,Andrew R Harver,https://pages.charlotte.edu/connections/people/andrew-r-harver/,,,,
experimental psychology,Andrew R Harver,https://pages.charlotte.edu/connections/people/andrew-r-harver/,,,,
obstructive lung disease,Andrew R Harver,https://pages.charlotte.edu/connections/people/andrew-r-harver/,,,,
pulmonary medicine,Andrew R Harver,https://pages.charlotte.edu/connections/people/andrew-r-harver/,,,,
respiratory physiology,Andrew R Harver,https://pages.charlotte.edu/connections/people/andrew-r-harver/,,,,
AED,Brenda J Ward,https://pages.charlotte.edu/connections/people/brenda-j-ward/,,,,
aquatics,Brenda J Ward,https://pages.charlotte.edu/connections/people/brenda-j-ward/,,,,
CPR,Brenda J Ward,https://pages.charlotte.edu/connections/people/brenda-j-ward/,Linda S Probst,https://pages.charlotte.edu/connections/people/linda-s-probst/,,
first aid,Brenda J Ward,https://pages.charlotte.edu/connections/people/brenda-j-ward/,,,,
body composition,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
cardiac disease,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
cardiac rehabilitation,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
depression,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
long-term outcomes,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
patient functional capacity,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
pulmonary disease,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
pulmonary rehabilitation,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
resistive exercise,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
special populations,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
training effects,David E Verrill,https://pages.charlotte.edu/connections/people/david-e-verrill/,,,,
chronic ankle instability,Tricia H Turner,https://pages.charlotte.edu/connections/people/tricia-h-turner/,,,,
chronic joint injury,Tricia H Turner,https://pages.charlotte.edu/connections/people/tricia-h-turner/,,,,
knee osteoarthritis,Tricia H Turner,https://pages.charlotte.edu/connections/people/tricia-h-turner/,,,,
ligament injury,Tricia H Turner,https://pages.charlotte.edu/connections/people/tricia-h-turner/,Abbey Fenwick,https://pages.charlotte.edu/connections/people/abbey-fenwick/,,
aging,John Nance,https://pages.charlotte.edu/connections/people/jcnance/,Kristen Funk Johnson,https://pages.charlotte.edu/connections/people/kfunk/,Cynthia Hancock,https://pages.charlotte.edu/connections/people/cynthia-hancock/
cardiovascular function,Michael J Turner,https://pages.charlotte.edu/connections/people/michael-j-turner/,,,,
emergency medical response,Linda S Probst,https://pages.charlotte.edu/connections/people/linda-s-probst/,,,,
group exercise pedagogy,Linda S Probst,https://pages.charlotte.edu/connections/people/linda-s-probst/,,,,
injury prevention,Linda S Probst,https://pages.charlotte.edu/connections/people/linda-s-probst/,,,,
lifetime fitness activities,Linda S Probst,https://pages.charlotte.edu/connections/people/linda-s-probst/,,,,
safety,Linda S Probst,https://pages.charlotte.edu/connections/people/linda-s-probst/,,,,
community education,Juliana M Marino,https://pages.charlotte.edu/connections/people/juliana-m-marino/,,,,
exercise physiology,Juliana M Marino,https://pages.charlotte.edu/connections/people/juliana-m-marino/,,,,
group fitness instruction,Juliana M Marino,https://pages.charlotte.edu/connections/people/juliana-m-marino/,,,,
personal training,Juliana M Marino,https://pages.charlotte.edu/connections/people/juliana-m-marino/,,,,
exercise interventions,Joseph S Marino,https://pages.charlotte.edu/connections/people/joseph-s-marino/,,,,
insulin resistance,Joseph S Marino,https://pages.charlotte.edu/connections/people/joseph-s-marino/,,,,
skeletal muscles,Joseph S Marino,https://pages.charlotte.edu/connections/people/joseph-s-marino/,,,,
adult diseases,Yvette M Huet,https://pages.charlotte.edu/connections/people/yvette-m-huet/,,,,
environmental toxicants,Yvette M Huet,https://pages.charlotte.edu/connections/people/yvette-m-huet/,,,,
estrogen,Yvette M Huet,https://pages.charlotte.edu/connections/people/yvette-m-huet/,,,,
neonatal environment,Yvette M Huet,https://pages.charlotte.edu/connections/people/yvette-m-huet/,,,,
sex steroids,Yvette M Huet,https://pages.charlotte.edu/connections/people/yvette-m-huet/,,,,
blood pressure,Reuben Howden,https://pages.charlotte.edu/connections/people/reuben-howden/,,,,
cardiopulmonary function,Reuben Howden,https://pages.charlotte.edu/connections/people/reuben-howden/,,,,
isometric training,Reuben Howden,https://pages.charlotte.edu/connections/people/reuben-howden/,,,,
joint degeneration,Abbey Fenwick,https://pages.charlotte.edu/connections/people/abbey-fenwick/,,,,
post-traumatic osteoarthritis,Abbey Fenwick,https://pages.charlotte.edu/connections/people/abbey-fenwick/,,,,
epidemiology of asthma,Ahmed Arif,https://pages.charlotte.edu/connections/people/ahmed-arif/,,,,
occupational epidemiology,Ahmed Arif,https://pages.charlotte.edu/connections/people/ahmed-arif/,,,,
weight management,Tracy Bonoffski,https://pages.charlotte.edu/connections/people/tracy-bonoffski/,,,,
psychosocial influences,Jan Warren-Findlow,https://pages.charlotte.edu/connections/people/jan-warren-findlow/,,,,
self-care,Jan Warren-Findlow,https://pages.charlotte.edu/connections/people/jan-warren-findlow/,,,,
cognitive behavior,Jane Neese,https://pages.charlotte.edu/connections/people/jane-neese/,,,,
consultation liaison,Jane Neese,https://pages.charlotte.edu/connections/people/jane-neese/,,,,
elder service use,Jane Neese,https://pages.charlotte.edu/connections/people/jane-neese/,,,,
psychogeriatric nursing,Jane Neese,https://pages.charlotte.edu/connections/people/jane-neese/,,,,
baseball history,Jeffrey Barto,https://pages.charlotte.edu/connections/people/jeffrey-barto/,,,,
social inequalities,Bianca Reisdorf,https://pages.charlotte.edu/connections/people/breisdor/,Mark DeHaven,https://pages.charlotte.edu/connections/people/mdehave1/,,
myogenesis,Susan Arthur,https://pages.charlotte.edu/connections/people/susan-arthur/,,,,
Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
gender,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,Jennifer Langhinrichsen-Rohling,https://pages.charlotte.edu/connections/people/jlanghin/
rhetoric,Jason Black,https://pages.charlotte.edu/connections/people/jblac143/,Cathy Mahaffey,https://pages.charlotte.edu/connections/people/cathy-mahaffey/,Rebecca Agosta,https://pages.charlotte.edu/connections/people/rebecca-agosta/
culture,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Erin Eldridge,https://pages.charlotte.edu/connections/people/eeldrid3/,Rachel Engstrom,https://pages.charlotte.edu/connections/people/rengstr1/
composition,Jonah Elrod,https://pages.charlotte.edu/connections/people/jelrod6-2/,Rick Dior,https://pages.charlotte.edu/connections/people/rmdior/,Cathy Mahaffey,https://pages.charlotte.edu/connections/people/cathy-mahaffey/
american literature,Peter Blair,https://pages.charlotte.edu/connections/people/peter-blair/,Gretchen Pratt,https://pages.charlotte.edu/connections/people/gretchen-pratt/,Lara Vetter,https://pages.charlotte.edu/connections/people/lara-vetter/
sexuality,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Rachel Engstrom,https://pages.charlotte.edu/connections/people/rengstr1/
children's literature,Andrew Hartley,https://pages.charlotte.edu/connections/people/ajhartle/,Balaka Basu,https://pages.charlotte.edu/connections/people/balaka-basu/,Lynn Raymond,https://pages.charlotte.edu/connections/people/lynn-raymond/
ethics,Jim Frakes,https://pages.charlotte.edu/connections/people/jffrakes/,Reginald Raymer,https://pages.charlotte.edu/connections/people/reginald-raymer/,Eddy Souffrant,https://pages.charlotte.edu/connections/people/eddy-souffrant/
creative writing,Peter Blair,https://pages.charlotte.edu/connections/people/peter-blair/,Gretchen Pratt,https://pages.charlotte.edu/connections/people/gretchen-pratt/,Heather Crickenberger,https://pages.charlotte.edu/connections/people/heather-crickenberger/
urban history,Emily Makas,https://pages.charlotte.edu/connections/people/emakas/,Gregory Mixon,https://pages.charlotte.edu/connections/people/gregory-mixon/,David Johnson,https://pages.charlotte.edu/connections/people/david-johnson/
linguistics,Javier Garcia Leon,https://pages.charlotte.edu/connections/people/jgarci53/,Rebecca Roeder,https://pages.charlotte.edu/connections/people/rebecca-roeder/,Ralf Thiede,https://pages.charlotte.edu/connections/people/ralf-thiede/
southern history,Tamara Williams,https://pages.charlotte.edu/connections/people/twill260/,John David Smith,https://pages.charlotte.edu/connections/people/john-david-smith/,Sonya Ramsey,https://pages.charlotte.edu/connections/people/sonya-ramsey/
globalization,Andrea Freidus,https://pages.charlotte.edu/connections/people/afreidus/,Karen Flint,https://pages.charlotte.edu/connections/people/karen-flint/,Harry Chernotsky,https://pages.charlotte.edu/connections/people/harry-chernotsky/
race,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,Kelsey Klotz,https://pages.charlotte.edu/connections/people/kklotz1/
second language acquisition,Elizabeth Miller,https://pages.charlotte.edu/connections/people/elizabeth-miller/,Chikako Mori,https://pages.charlotte.edu/connections/people/chikako-mori/,Maria Delgadillo Latorre,https://pages.charlotte.edu/connections/people/maria-delgadillo-latorre/
american culture,Kelsey Klotz,https://pages.charlotte.edu/connections/people/kklotz1/,Lynne Conner,https://pages.charlotte.edu/connections/people/lconner2/,Julia Robinson,https://pages.charlotte.edu/connections/people/julia-robinson/
translation studies,David Boyd,https://pages.charlotte.edu/connections/people/dboyd23/,Christopher Mellinger,https://pages.charlotte.edu/connections/people/cmelling/,Michael Doyle,https://pages.charlotte.edu/connections/people/michael-doyle/
ecology,Brook Muller,https://pages.charlotte.edu/connections/people/bmuller7/,Erin Eldridge,https://pages.charlotte.edu/connections/people/eeldrid3/,Lydia Light,https://pages.charlotte.edu/connections/people/llight1/
politics,Lidia Klein,https://pages.charlotte.edu/connections/people/lklein7/,Betsy West,https://pages.charlotte.edu/connections/people/bcwest/,Andrew Hartley,https://pages.charlotte.edu/connections/people/ajhartle/
nationalism,Ritika Prasad,https://pages.charlotte.edu/connections/people/ritika-prasad/,Steven Sabol,https://pages.charlotte.edu/connections/people/steven-sabol/,Daniel Dupre,https://pages.charlotte.edu/connections/people/daniel-dupre/
comparative literature,Sandra Watts,https://pages.charlotte.edu/connections/people/sandra-watts/,Allison Stedman,https://pages.charlotte.edu/connections/people/allison-stedman/,Ann Gonzalez,https://pages.charlotte.edu/connections/people/ann-gonzalez/
organizations,Eddy Souffrant,https://pages.charlotte.edu/connections/people/eddy-souffrant/,Vaughn Schmutz,https://pages.charlotte.edu/connections/people/vaughn-schmutz/,Kendra Jason,https://pages.charlotte.edu/connections/people/kendra-jason/
diaspora,Oscar De la Torre Cueva,https://pages.charlotte.edu/connections/people/oscar-de-la-torre-cueva/,Akinwumi Ogundiran,https://pages.charlotte.edu/connections/people/akinwumi-ogundiran/,Tanure Ojaide,https://pages.charlotte.edu/connections/people/tanure-ojaide/
latin america,Oscar De la Torre Cueva,https://pages.charlotte.edu/connections/people/oscar-de-la-torre-cueva/,Garth Green,https://pages.charlotte.edu/connections/people/garth-green/,Nicole Peterson,https://pages.charlotte.edu/connections/people/nicole-peterson/
language,Reginald Raymer,https://pages.charlotte.edu/connections/people/reginald-raymer/,Eric Hoenes,https://pages.charlotte.edu/connections/people/eric-hoenes/,John Reeves,https://pages.charlotte.edu/connections/people/john-reeves/
applied ethics,Lisa Rasmussen,https://pages.charlotte.edu/connections/people/lisa-rasmussen/,Aura Lawson-Alonso,https://pages.charlotte.edu/connections/people/aura-lawson-alonso/,,
evolution,Tingting Xiang,https://pages.charlotte.edu/connections/people/txiang/,Lydia Light,https://pages.charlotte.edu/connections/people/llight1/,Ellen Wisner,https://pages.charlotte.edu/connections/people/ewisner/
media,Javier Garcia Leon,https://pages.charlotte.edu/connections/people/jgarci53/,Mary Atkinson,https://pages.charlotte.edu/connections/people/mary-atkinson/,Jonathan Crane,https://pages.charlotte.edu/connections/people/jonathan-crane/
pedagogy,Suzanne Ingram,https://pages.charlotte.edu/connections/people/suzanne-ingram/,JuliAnna Avila,https://pages.charlotte.edu/connections/people/julianna-avila/,Maria Delgadillo Latorre,https://pages.charlotte.edu/connections/people/maria-delgadillo-latorre/
Narrative theory,Balaka Basu,https://pages.charlotte.edu/connections/people/balaka-basu/,Ronald Lunsford,https://pages.charlotte.edu/connections/people/ronald-lunsford/,Tony Jackson,https://pages.charlotte.edu/connections/people/tony-jackson/
business communication,Timothy Horne,https://pages.charlotte.edu/connections/people/timothy-horne/,Melody Dixon,https://pages.charlotte.edu/connections/people/melody-dixon/,Debra Baker,https://pages.charlotte.edu/connections/people/debra-baker/
health,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Jennifer Langhinrichsen-Rohling,https://pages.charlotte.edu/connections/people/jlanghin/,Jhordin James Montegrico,https://pages.charlotte.edu/connections/people/jmontegr/
discourse analysis,Javier Garcia Leon,https://pages.charlotte.edu/connections/people/jgarci53/,David Taylor,https://pages.charlotte.edu/connections/people/dbtaylor/,Ashlyn Walden,https://pages.charlotte.edu/connections/people/ashlyn-walden/
psychology,Douglas Markant,https://pages.charlotte.edu/connections/people/dmarkant/,Mark Pizzato,https://pages.charlotte.edu/connections/people/mpizzato/,Elise Berman,https://pages.charlotte.edu/connections/people/elise-berman/
political philosophy,Juan Meneses Naranjo,https://pages.charlotte.edu/connections/people/juan-meneses-naranjo/,Mark Sanders,https://pages.charlotte.edu/connections/people/mark-sanders/,Gordon Hull,https://pages.charlotte.edu/connections/people/gordon-hull/
hispanic literature,Maryrica Lottman,https://pages.charlotte.edu/connections/people/maryrica-lottman/,Carlos Coria-Sanchez,https://pages.charlotte.edu/connections/people/carlos-coria-sanchez/,,
criminology,Joseph Dippong,https://pages.charlotte.edu/connections/people/joseph-dippong/,Mary McKenzie,https://pages.charlotte.edu/connections/people/mary-mckenzie/,Bruce Arrigo,https://pages.charlotte.edu/connections/people/bruce-arrigo/
personal writing,Ashlyn Walden,https://pages.charlotte.edu/connections/people/ashlyn-walden/,Tonya Wertz-Orbaugh,https://pages.charlotte.edu/connections/people/tonya-wertz-orbaugh/,,
digital humanities,Kaustavi Sarkar,https://pages.charlotte.edu/connections/people/ksarkar/,Crystal Eddins,https://pages.charlotte.edu/connections/people/ceddins/,Heather Perry,https://pages.charlotte.edu/connections/people/heather-perry/
race and ethnicity,Alexander Kustov,https://pages.charlotte.edu/connections/people/akustov/,Victoria Rankin,https://pages.charlotte.edu/connections/people/vrankin1/,Crystal Eddins,https://pages.charlotte.edu/connections/people/ceddins/
technology,Marc Manack,https://pages.charlotte.edu/connections/people/mmanack/,Christopher Mellinger,https://pages.charlotte.edu/connections/people/cmelling/,Jessica Lindsey,https://pages.charlotte.edu/connections/people/jlinds32/
geographic information science,Ming-Chun Lee,https://pages.charlotte.edu/connections/people/mlee137/,Elizabeth Delmelle,https://pages.charlotte.edu/connections/people/elizabeth-delmelle/,Wenwu Tang,https://pages.charlotte.edu/connections/people/wenwu-tang/
Literary theory,Maya Socolovsky,https://pages.charlotte.edu/connections/people/maya-socolovsky/,Tony Jackson,https://pages.charlotte.edu/connections/people/tony-jackson/,,
micro optics,Matthew Davies,https://pages.charlotte.edu/connections/people/madavies/,Menelaos Poutous,https://pages.charlotte.edu/connections/people/menelaos-poutous/,Thomas Suleski,https://pages.charlotte.edu/connections/people/thomas-suleski/
social inequality,Victoria Rankin,https://pages.charlotte.edu/connections/people/vrankin1/,Anne-Kathrin Kronberg,https://pages.charlotte.edu/connections/people/akronber/,Vaughn Schmutz,https://pages.charlotte.edu/connections/people/vaughn-schmutz/
technical writing,Lynn Raymond,https://pages.charlotte.edu/connections/people/lynn-raymond/,Aaron Toscano,https://pages.charlotte.edu/connections/people/aaron-toscano/,,
applied linguistics,Concepcion DeGodev,https://pages.charlotte.edu/connections/people/concepcion-degodev/,Fumie Kato,https://pages.charlotte.edu/connections/people/fumie-kato/,,
organizational communication,Margaret M. Quinlan,https://pages.charlotte.edu/connections/people/margaret-m-quinlan/,Lori Gossett,https://pages.charlotte.edu/connections/people/lori-gossett/,Sandy Hanson,https://pages.charlotte.edu/connections/people/sandy-hanson/
journalism,Jonathan Paddock,https://pages.charlotte.edu/connections/people/jonathan-paddock/,Robin Rothberg,https://pages.charlotte.edu/connections/people/robin-rothberg/,Cheryl Spainhour,https://pages.charlotte.edu/connections/people/cheryl-spainhour/
foreign policy,Veronica Robinson,https://pages.charlotte.edu/connections/people/veronica-robinson/,Harry Chernotsky,https://pages.charlotte.edu/connections/people/harry-chernotsky/,,
religion,Nancy Bishop,https://pages.charlotte.edu/connections/people/nbishop5/,William Sherman,https://pages.charlotte.edu/connections/people/wsherma2/,Bonnie Noble,https://pages.charlotte.edu/connections/people/bjnoble/
cultural history,Emily Makas,https://pages.charlotte.edu/connections/people/emakas/,Jim Frakes,https://pages.charlotte.edu/connections/people/jffrakes/,Akinwumi Ogundiran,https://pages.charlotte.edu/connections/people/akinwumi-ogundiran/
communication,Debra Smith,https://pages.charlotte.edu/connections/people/debra-smith/,Elise Berman,https://pages.charlotte.edu/connections/people/elise-berman/,,
history,Mark Pizzato,https://pages.charlotte.edu/connections/people/mpizzato/,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,Julia Robinson,https://pages.charlotte.edu/connections/people/julia-robinson/
public speaking,Staci Kuntzman,https://pages.charlotte.edu/connections/people/staci-kuntzman/,Timothy Horne,https://pages.charlotte.edu/connections/people/timothy-horne/,Debra Baker,https://pages.charlotte.edu/connections/people/debra-baker/
